occupation_id,n_revealed,strategy,digits,method,prior,p@5,p@10,mrr
285,5,core_first,1,mf_impute,0.12345679012345678,1.0,1.0,1.0
285,5,core_first,2,random,0.043209876543209874,0.0,0.0,0.09090909090909091
285,5,core_first,2,popular_group,0.043209876543209874,0.0,0.0,0.004098360655737705
285,5,core_first,2,raw_distance,0.043209876543209874,0.8,0.4,1.0
285,5,core_first,2,raw_correlation,0.043209876543209874,0.6,0.4,1.0
285,5,core_first,2,mf_latent,0.043209876543209874,0.8,0.4,1.0
285,5,core_first,2,mf_impute,0.043209876543209874,0.0,0.1,0.125
292,5,core_first,1,random,0.12345679012345678,0.4,0.2,0.5
292,5,core_first,1,popular_group,0.12345679012345678,0.0,0.0,0.004901960784313725
292,5,core_first,1,raw_distance,0.12345679012345678,0.6,0.6,0.3333333333333333
292,5,core_first,1,raw_correlation,0.12345679012345678,0.2,0.3,0.2
292,5,core_first,1,mf_latent,0.12345679012345678,1.0,1.0,1.0
292,5,core_first,1,mf_impute,0.12345679012345678,1.0,1.0,1.0
292,5,core_first,2,random,0.043209876543209874,0.0,0.0,0.0625
292,5,core_first,2,popular_group,0.043209876543209874,0.0,0.0,0.004098360655737705
292,5,core_first,2,raw_distance,0.043209876543209874,0.6,0.3,0.3333333333333333
292,5,core_first,2,raw_correlation,0.043209876543209874,0.2,0.3,0.2
292,5,core_first,2,mf_latent,0.043209876543209874,0.6,0.6,1.0
292,5,core_first,2,mf_impute,0.043209876543209874,0.0,0.1,0.16666666666666666
302,5,core_first,1,random,0.12345679012345678,0.0,0.0,0.05555555555555555
302,5,core_first,1,popular_group,0.12345679012345678,0.0,0.0,0.004901960784313725
302,5,core_first,1,raw_distance,0.12345679012345678,0.8,0.6,0.5
302,5,core_first,1,raw_correlation,0.12345679012345678,0.2,0.6,0.3333333333333333
302,5,core_first,1,mf_latent,0.12345679012345678,1.0,1.0,1.0
302,5,core_first,1,mf_impute,0.12345679012345678,1.0,1.0,1.0
302,5,core_first,2,random,0.043209876543209874,0.0,0.0,0.04
302,5,core_first,2,popular_group,0.043209876543209874,0.0,0.0,0.004098360655737705
302,5,core_first,2,raw_distance,0.043209876543209874,0.8,0.5,0.5
302,5,core_first,2,raw_correlation,0.043209876543209874,0.2,0.6,0.3333333333333333
302,5,core_first,2,mf_latent,0.043209876543209874,0.4,0.3,1.0
302,5,core_first,2,mf_impute,0.043209876543209874,0.0,0.0,0.0625
308,5,core_first,1,random,0.12345679012345678,0.0,0.2,0.14285714285714285
308,5,core_first,1,popular_group,0.12345679012345678,0.0,0.0,0.004901960784313725
308,5,core_first,1,raw_distance,0.12345679012345678,1.0,0.8,1.0
308,5,core_first,1,raw_correlation,0.12345679012345678,0.4,0.5,1.0
308,5,core_first,1,mf_latent,0.12345679012345678,1.0,1.0,1.0
308,5,core_first,1,mf_impute,0.12345679012345678,1.0,1.0,1.0
308,5,core_first,2,random,0.013580246913580247,0.0,0.1,0.125
308,5,core_first,2,popular_group,0.013580246913580247,0.0,0.0,0.0036231884057971015
308,5,core_first,2,raw_distance,0.013580246913580247,0.2,0.1,0.25
308,5,core_first,2,raw_correlation,0.013580246913580247,0.0,0.3,0.16666666666666666
308,5,core_first,2,mf_latent,0.013580246913580247,0.4,0.2,0.3333333333333333
308,5,core_first,2,mf_impute,0.013580246913580247,0.0,0.1,0.125
314,5,core_first,1,random,0.12345679012345678,0.0,0.0,0.07692307692307693
314,5,core_first,1,popular_group,0.12345679012345678,0.0,0.0,0.004901960784313725
314,5,core_first,1,raw_distance,0.12345679012345678,1.0,1.0,1.0
314,5,core_first,1,raw_correlation,0.12345679012345678,1.0,0.9,1.0
314,5,core_first,1,mf_latent,0.12345679012345678,1.0,1.0,1.0
314,5,core_first,1,mf_impute,0.12345679012345678,1.0,1.0,1.0
314,5,core_first,2,random,0.013580246913580247,0.0,0.0,0.007042253521126761
314,5,core_first,2,popular_group,0.013580246913580247,0.0,0.0,0.0036231884057971015
314,5,core_first,2,raw_distance,0.013580246913580247,0.0,0.0,0.05555555555555555
314,5,core_first,2,raw_correlation,0.013580246913580247,0.0,0.0,0.02857142857142857
314,5,core_first,2,mf_latent,0.013580246913580247,0.2,0.3,0.2
314,5,core_first,2,mf_impute,0.013580246913580247,0.2,0.1,0.2
320,5,core_first,1,random,0.1,0.2,0.1,1.0
320,5,core_first,1,popular_group,0.1,0.0,0.0,0.0033333333333333335
320,5,core_first,1,raw_distance,0.1,0.0,0.3,0.125
320,5,core_first,1,raw_correlation,0.1,0.0,0.0,0.003389830508474576
320,5,core_first,1,mf_latent,0.1,0.8,0.6,1.0
320,5,core_first,1,mf_impute,0.1,0.6,0.4,0.5
320,5,core_first,2,random,0.013580246913580247,0.0,0.0,0.013513513513513514
320,5,core_first,2,popular_group,0.013580246913580247,0.0,0.0,0.003424657534246575
320,5,core_first,2,raw_distance,0.013580246913580247,0.0,0.1,0.1
320,5,core_first,2,raw_correlation,0.013580246913580247,0.0,0.0,0.003389830508474576
320,5,core_first,2,mf_latent,0.013580246913580247,0.4,0.2,1.0
320,5,core_first,2,mf_impute,0.013580246913580247,0.2,0.1,0.5
325,5,core_first,1,random,0.1,0.4,0.3,1.0
325,5,core_first,1,popular_group,0.1,0.0,0.0,0.0033333333333333335
325,5,core_first,1,raw_distance,0.1,0.0,0.4,0.14285714285714285
325,5,core_first,1,raw_correlation,0.1,0.0,0.0,0.003389830508474576
325,5,core_first,1,mf_latent,0.1,0.8,0.5,1.0
325,5,core_first,1,mf_impute,0.1,0.4,0.4,1.0
325,5,core_first,2,random,0.013580246913580247,0.2,0.1,1.0
325,5,core_first,2,popular_group,0.013580246913580247,0.0,0.0,0.003424657534246575
325,5,core_first,2,raw_distance,0.013580246913580247,0.0,0.4,0.14285714285714285
325,5,core_first,2,raw_correlation,0.013580246913580247,0.0,0.0,0.003389830508474576
325,5,core_first,2,mf_latent,0.013580246913580247,0.8,0.5,1.0
325,5,core_first,2,mf_impute,0.013580246913580247,0.4,0.4,1.0
336,5,core_first,1,random,0.1,0.0,0.1,0.1111111111111111
336,5,core_first,1,popular_group,0.1,0.0,0.0,0.0033333333333333335
336,5,core_first,1,raw_distance,0.1,0.2,0.5,0.2
336,5,core_first,1,raw_correlation,0.1,0.0,0.2,0.1111111111111111
336,5,core_first,1,mf_latent,0.1,0.8,0.5,1.0
336,5,core_first,1,mf_impute,0.1,0.2,0.2,0.2
336,5,core_first,2,random,0.04814814814814815,0.0,0.0,0.03225806451612903
336,5,core_first,2,popular_group,0.04814814814814815,0.0,0.0,0.003246753246753247
336,5,core_first,2,raw_distance,0.04814814814814815,0.2,0.4,0.2
336,5,core_first,2,raw_correlation,0.04814814814814815,0.0,0.2,0.1111111111111111
336,5,core_first,2,mf_latent,0.04814814814814815,0.8,0.5,1.0
336,5,core_first,2,mf_impute,0.04814814814814815,0.2,0.2,0.2
352,5,core_first,1,random,0.1,0.2,0.1,0.3333333333333333
352,5,core_first,1,popular_group,0.1,0.0,0.0,0.0033333333333333335
352,5,core_first,1,raw_distance,0.1,0.2,0.2,0.5
352,5,core_first,1,raw_correlation,0.1,0.2,0.2,0.3333333333333333
352,5,core_first,1,mf_latent,0.1,0.0,0.0,0.03225806451612903
352,5,core_first,1,mf_impute,0.1,0.2,0.2,0.5
352,5,core_first,2,random,0.04814814814814815,0.0,0.0,0.041666666666666664
352,5,core_first,2,popular_group,0.04814814814814815,0.0,0.0,0.003246753246753247
352,5,core_first,2,raw_distance,0.04814814814814815,0.2,0.2,0.5
352,5,core_first,2,raw_correlation,0.04814814814814815,0.2,0.2,0.3333333333333333
352,5,core_first,2,mf_latent,0.04814814814814815,0.0,0.0,0.03125
352,5,core_first,2,mf_impute,0.04814814814814815,0.0,0.0,0.07142857142857142
357,5,core_first,1,random,0.1,0.2,0.3,1.0
357,5,core_first,1,popular_group,0.1,0.0,0.0,0.0033333333333333335
357,5,core_first,1,raw_distance,0.1,0.0,0.4,0.14285714285714285
